"Geslacht";"Leeftijd";"Nationaliteit";"Perioden";"Eerste asielverzoeken (personen) (aantal)";"Nareizigers (personen) (aantal)"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 april";"    2220";"     850"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 mei";"    2530";"     915"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 juni";"    2575";"    1400"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 juli";"    2745";"    1615"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 augustus";"    3840";"    1065"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 september";"    4435";"     965"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 oktober";"    4075";"     660"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 november";"    4070";"     380"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 december";"    2595";"     500"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2023 januari*";"    2490";"     390"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2023 februari*";"    2195";"     510"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2023 maart*";"    2225";"     995"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2023 april*";"    2355";"     810"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 april";"     305";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 mei";"     120";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 juni";"     205";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 juli";"     305";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 augustus";"     530";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 september";"     245";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 oktober";"     120";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 november";"     110";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 december";"      70";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2023 januari*";"      65";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2023 februari*";"      85";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2023 maart*";"      40";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2023 april*";"      40";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Algerijns ";"2022 april";"      45";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Algerijns ";"2022 mei";"      90";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Algerijns ";"2022 juni";"      75";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Algerijns ";"2022 juli";"      50";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Algerijns ";"2022 augustus";"      70";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Algerijns ";"2022 september";"      80";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Algerijns ";"2022 oktober";"     130";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Algerijns ";"2022 november";"     195";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Algerijns ";"2022 december";"     155";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Algerijns ";"2023 januari*";"     155";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Algerijns ";"2023 februari*";"     140";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Algerijns ";"2023 maart*";"     140";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Algerijns ";"2023 april*";"      90";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Chinees ";"2022 april";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Chinees ";"2022 mei";"      15";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Chinees ";"2022 juni";"      15";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Chinees ";"2022 juli";"      15";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Chinees ";"2022 augustus";"      15";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Chinees ";"2022 september";"      20";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Chinees ";"2022 oktober";"      15";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Chinees ";"2022 november";"      15";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Chinees ";"2022 december";"      20";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Chinees ";"2023 januari*";"      25";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Chinees ";"2023 februari*";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Chinees ";"2023 maart*";"      15";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Chinees ";"2023 april*";"      20";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Egyptisch ";"2022 april";"      10";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Egyptisch ";"2022 mei";"      15";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Egyptisch ";"2022 juni";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Egyptisch ";"2022 juli";"      20";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Egyptisch ";"2022 augustus";"      35";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Egyptisch ";"2022 september";"      25";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Egyptisch ";"2022 oktober";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Egyptisch ";"2022 november";"      35";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Egyptisch ";"2022 december";"      25";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Egyptisch ";"2023 januari*";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Egyptisch ";"2023 februari*";"      15";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Egyptisch ";"2023 maart*";"      25";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Egyptisch ";"2023 april*";"      15";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Eritrees ";"2022 april";"      85";"      45"
"Totaal mannen en vrouwen ";"Totaal";"Eritrees ";"2022 mei";"      80";"      40"
"Totaal mannen en vrouwen ";"Totaal";"Eritrees ";"2022 juni";"      85";"      65"
"Totaal mannen en vrouwen ";"Totaal";"Eritrees ";"2022 juli";"     130";"      50"
"Totaal mannen en vrouwen ";"Totaal";"Eritrees ";"2022 augustus";"     165";"      40"
"Totaal mannen en vrouwen ";"Totaal";"Eritrees ";"2022 september";"     165";"      65"
"Totaal mannen en vrouwen ";"Totaal";"Eritrees ";"2022 oktober";"     150";"      60"
"Totaal mannen en vrouwen ";"Totaal";"Eritrees ";"2022 november";"     150";"      25"
"Totaal mannen en vrouwen ";"Totaal";"Eritrees ";"2022 december";"      95";"      35"
"Totaal mannen en vrouwen ";"Totaal";"Eritrees ";"2023 januari*";"      90";"      45"
"Totaal mannen en vrouwen ";"Totaal";"Eritrees ";"2023 februari*";"     140";"      30"
"Totaal mannen en vrouwen ";"Totaal";"Eritrees ";"2023 maart*";"     155";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Eritrees ";"2023 april*";"     105";"      30"
"Totaal mannen en vrouwen ";"Totaal";"Ethiopisch ";"2022 april";"      15";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Ethiopisch ";"2022 mei";"      40";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Ethiopisch ";"2022 juni";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Ethiopisch ";"2022 juli";"      25";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Ethiopisch ";"2022 augustus";"      30";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Ethiopisch ";"2022 september";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Ethiopisch ";"2022 oktober";"      35";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Ethiopisch ";"2022 november";"      30";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Ethiopisch ";"2022 december";"      25";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Ethiopisch ";"2023 januari*";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Ethiopisch ";"2023 februari*";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Ethiopisch ";"2023 maart*";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Ethiopisch ";"2023 april*";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Gambiaans ";"2022 april";"       5";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Gambiaans ";"2022 mei";"      15";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Gambiaans ";"2022 juni";"       5";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Gambiaans ";"2022 juli";"       5";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Gambiaans ";"2022 augustus";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Gambiaans ";"2022 september";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Gambiaans ";"2022 oktober";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Gambiaans ";"2022 november";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Gambiaans ";"2022 december";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Gambiaans ";"2023 januari*";"      15";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Gambiaans ";"2023 februari*";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Gambiaans ";"2023 maart*";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Gambiaans ";"2023 april*";"       5";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Indiaas ";"2022 april";"       0";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Indiaas ";"2022 mei";"      15";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Indiaas ";"2022 juni";"      15";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Indiaas ";"2022 juli";"       5";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Indiaas ";"2022 augustus";"       0";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Indiaas ";"2022 september";"       5";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Indiaas ";"2022 oktober";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Indiaas ";"2022 november";"       5";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Indiaas ";"2022 december";"       5";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Indiaas ";"2023 januari*";"      25";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Indiaas ";"2023 februari*";"      15";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Indiaas ";"2023 maart*";"      15";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Indiaas ";"2023 april*";"      15";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Iraaks ";"2022 april";"      60";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Iraaks ";"2022 mei";"      25";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Iraaks ";"2022 juni";"      30";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Iraaks ";"2022 juli";"      45";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Iraaks ";"2022 augustus";"      55";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Iraaks ";"2022 september";"      65";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Iraaks ";"2022 oktober";"      85";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Iraaks ";"2022 november";"      60";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Iraaks ";"2022 december";"     115";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Iraaks ";"2023 januari*";"      65";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Iraaks ";"2023 februari*";"      65";"      30"
"Totaal mannen en vrouwen ";"Totaal";"Iraaks ";"2023 maart*";"      55";"      40"
"Totaal mannen en vrouwen ";"Totaal";"Iraaks ";"2023 april*";"     195";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Iraans ";"2022 april";"      25";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Iraans ";"2022 mei";"      35";"      25"
"Totaal mannen en vrouwen ";"Totaal";"Iraans ";"2022 juni";"      35";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Iraans ";"2022 juli";"      35";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Iraans ";"2022 augustus";"      65";"      25"
"Totaal mannen en vrouwen ";"Totaal";"Iraans ";"2022 september";"     105";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Iraans ";"2022 oktober";"      95";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Iraans ";"2022 november";"     125";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Iraans ";"2022 december";"      90";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Iraans ";"2023 januari*";"     140";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Iraans ";"2023 februari*";"     100";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Iraans ";"2023 maart*";"     115";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Iraans ";"2023 april*";"     105";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2022 april";"     185";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2022 mei";"     170";"      40"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2022 juni";"     195";"      70"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2022 juli";"     185";"      75"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2022 augustus";"     210";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2022 september";"     285";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2022 oktober";"     285";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2022 november";"     265";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2022 december";"     125";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2023 januari*";"     155";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2023 februari*";"     150";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2023 maart*";"     190";"      50"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2023 april*";"     220";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2022 april";"      55";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2022 mei";"      75";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2022 juni";"      45";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2022 juli";"      30";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2022 augustus";"      45";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2022 september";"      70";"       0"
